source,target,value,value1
Wechat,1,7.5,116.69
Wechat,2,6.2,116.69
Wechat,3,8.7,116.69
Wechat,4,5.78,116.69
Wechat,5,2.7,116.69
Wechat,6,0.07,116.69
Wechat,7,1,116.69
Wechat,8,0.02,116.69
Wechat,9,0.5,116.69
Wechat,10,1.85,116.69
Wechat,11,7.4,116.69
Wechat,12,9,116.69
Wechat,13,7.76,116.69
Wechat,14,8.58,116.69
Wechat,15,4.16,116.69
Wechat,16,5.2,116.69
Wechat,17,3.84,116.69
Wechat,18,3.23,116.69
Wechat,19,5.03,116.69
Wechat,20,3.72,116.69
Wechat,21,4.66,116.69
Wechat,22,4.92,116.69
Wechat,23,6.87,116.69
Wechat,24,8,116.69
Instagram,1,0.71,35.45
Instagram,2,0.51,35.45
Instagram,3,2.44,35.45
Instagram,4,0.42,35.45
Instagram,5,1.6,35.45
Instagram,6,0.5,35.45
Instagram,7,0,35.45
Instagram,8,0,35.45
Instagram,9,0.2,35.45
Instagram,10,0.95,35.45
Instagram,11,0.7,35.45
Instagram,12,2.4,35.45
Instagram,13,1.66,35.45
Instagram,14,1.99,35.45
Instagram,15,3.8,35.45
Instagram,16,3.26,35.45
Instagram,17,1.05,35.45
Instagram,18,3.41,35.45
Instagram,19,2.41,35.45
Instagram,20,2.06,35.45
Instagram,21,1.22,35.45
Instagram,22,2.29,35.45
Instagram,23,1.19,35.45
Instagram,24,0.68,35.45
Hupu,1,3.2,29.61
Hupu,2,1.82,29.61
Hupu,3,0.9,29.61
Hupu,4,2.2,29.61
Hupu,5,0.49,29.61
Hupu,6,0.5,29.61
Hupu,7,0,29.61
Hupu,8,0,29.61
Hupu,9,2.1,29.61
Hupu,10,1.05,29.61
Hupu,11,0.8,29.61
Hupu,12,2.97,29.61
Hupu,13,1.88,29.61
Hupu,14,2.1,29.61
Hupu,15,1.16,29.61
Hupu,16,0.56,29.61
Hupu,17,0.2,29.61
Hupu,18,0.72,29.61
Hupu,19,0.57,29.61
Hupu,20,0.63,29.61
Hupu,21,1.11,29.61
Hupu,22,0.79,29.61
Hupu,23,1.86,29.61
Hupu,24,2,29.61
Alipay,1,0,14.17
Alipay,2,0,14.17
Alipay,3,0.1,14.17
Alipay,4,0.9,14.17
Alipay,5,0.2,14.17
Alipay,6,0,14.17
Alipay,7,0.1,14.17
Alipay,8,0.01,14.17
Alipay,9,0.2,14.17
Alipay,10,0.57,14.17
Alipay,11,0.28,14.17
Alipay,12,1.38,14.17
Alipay,13,0.79,14.17
Alipay,14,0.2,14.17
Alipay,15,0.1,14.17
Alipay,16,0.01,14.17
Alipay,17,0,14.17
Alipay,18,0,14.17
Alipay,19,0.23,14.17
Alipay,20,8.3,14.17
Alipay,21,0.16,14.17
Alipay,22,0.41,14.17
Alipay,23,0.17,14.17
Alipay,24,0.06,14.17
