['37', 'NORTH CAROLINA', 'NC', 'Lenoir', '37107', 'Lenoir County, North Carolina', '399.0866184', '57227', '0', '27550', '151', '23121', '504', '12844', '1064', '3274', '448', '22361', '1334', '7800', '727', '10956', '164', '12917', '56', '13367', '889', '2728', '367.4', '28933', '29.0', '1179', '295.9', '990', '185.6', '6497', '447', '576', '201.2', '2705', '310', '1359', '356', '23.0', '1.9', '12.3', '1.6', '22361.0', '1334.0', '19.6', '1.8', '19.1', '0.3', '22.6', '0.1', '23.8', '1.6', '11.8', '1.6', '50.6', '0.1', '2.2', '0.5', '3.6', '0.7', '23.6', '1.6', '2.5', '0.9', '11.7', '1.3', '2.4', '0.6', '0.8755', '0.9732', '0.7787', '0.8351', '3.4625', '0.9207', '0.5995', '0.5304', '0.9478', '0.9096', '2.9873', '0.9806', '0.8828', '0.7848', '1.6676', '0.8854', '0.5788', '0.8561', '0.6622', '0.95', '0.5769', '3.624', '0.9672', '11.7414', '0.9933', '0', '1', '0', '0', '1', '0', '0', '1', '1', '2', '0', '0', '0', '0', '0', '0', '1', '0', '1', '4', '7434', '676', '13.3', '1.2', '56733']
['36', 'NEW YORK', 'NY', 'Bronx', '36005', 'Bronx County, New York', '42.0499611', '1437872', '0', '526784', '496', '499728', '1095', '407528', '7446', '70250', '2213', '20850', '261', '258956', '3364', '174470', '118', '361080', '141', '209900', '3567', '95328', '2001.3', '1303998', '501.0', '210911', '3806.0', '358674', '2171.1', '732', '204', '61715', '1835.0', '292462', '2322', '41790', '1379', '29.1', '0.5', '10.5', '0.3', '20850.0', '261.0', '28.0', '0.4', '12.1', '0.1', '25.1', '0.0', '14.8', '0.3', '19.1', '0.4', '90.7', '0.0', '15.8', '0.3', '68.1', '0.4', '0.1', '0.1', '12.3', '0.4', '58.5', '0.5', '2.9', '0.1', '0.965', '0.9487', '0.8666', '0.9748', '3.7551', '0.9739', '0.0675', '0.8329', '0.4352', '0.9949', '2.3305', '0.7517', '0.9955', '0.9933', '1.9888', '0.9968', '0.9997', '0.0022', '0.993', '0.999', '0.6562', '3.6501', '0.9704', '11.7245', '0.9927', '1', '1', '0', '1', '3', '0', '0', '0', '1', '1', '1', '1', '2', '1', '0', '1', '1', '0', '3', '9', '136920', '3924', '9.7', '0.3', '891595']
['45', 'SOUTH CAROLINA', 'SC', 'Allendale', '45005', 'Allendale County, South Carolina', '408.0904487', '9214', '0', '4487', '71', '3350', '184', '2171', '406', '550', '175', '14744', '1251', '1444', '269', '1691', '0', '1750', '0', '1906', '264', '402', '139.4', '7164', '17.0', '37', '75.5', '184', '110.9', '1475', '204', '70', '63.3', '679', '197', '1172', '158', '26.8', '5.0', '16.4', '4.7', '14744.0', '1251.0', '22.3', '4.0', '18.4', '0.0', '19.0', '0.0', '23.5', '3.3', '12.0', '4.1', '77.8', '0.2', '0.4', '0.9', '4.1', '2.5', '32.9', '4.5', '2.1', '1.9', '20.3', '5.5', '12.7', '1.7', '0.9443', '0.9924', '0.9917', '0.9089', '3.8373', '0.9841', '0.5352', '0.1344', '0.9401', '0.9172', '2.5269', '0.859', '0.9803', '0.297', '1.2773', '0.6746', '0.6332', '0.9592', '0.5498', '0.9914', '0.9589', '4.0925', '0.9978', '11.734', '0.993', '1', '1', '1', '1', '4', '0', '0', '1', '1', '2', '1', '0', '1', '0', '1', '0', '1', '1', '3', '10', '978', '253', '12.1', '3.1', '9452']




['37', 'NORTH CAROLINA', 'NC', 'Greene', '37079', 'Greene County, North Carolina', '266.7389841', '21008', '0', '8316', '99', '7259', '191', '4781', '669', '871', '205', '18339', '1038', '3870', '261', '3195', '2', '4388', '26', '4377', '379', '893', '181.2', '11145', '54.0', '988', '199.0', '96', '30.7', '3191', '222', '252', '93.9', '537', '122', '2408', '243', '25.7', '3.6', '9.7', '2.3', '18339.0', '1038.0', '25.9', '1.8', '15.2', '0.1', '20.9', '0.1', '23.4', '2.0', '12.3', '2.5', '53.1', '0.3', '5.0', '1.0', '1.2', '0.4', '38.4', '2.6', '3.5', '1.3', '7.4', '1.7', '11.5', '1.2', '0.9287', '0.9287', '0.9506', '0.9608', '3.7688', '0.9758', '0.2273', '0.3091', '0.9379', '0.9277', '2.402', '0.7972', '0.8946', '0.9172', '1.8118', '0.9417', '0.2216', '0.985', '0.8348', '0.7338', '0.9491', '3.7243', '0.9793', '11.7069', '0.9924', '1', '1', '1', '1', '4', '0', '0', '1', '1', '2', '0', '1', '1', '0', '1', '0', '0', '1', '2', '9', '3098', '347', '16.6', '1.8', '14564']
['28', 'MISSISSIPPI', 'MS', 'Claiborne', '28021', 'Claiborne County, Mississippi', '487.4151721', '9120', '0', '4277', '104', '3009', '209', '3698', '579', '470', '147', '13503', '1567', '1196', '190', '1398', '61', '1992', '16', '1328', '220', '471', '137.9', '8057', '18.0', '34', '81.9', '214', '72.7', '1616', '196', '171', '96.7', '314', '89', '727', '283', '44.0', '6.7', '15.6', '4.7', '13503.0', '1567.0', '22.6', '3.6', '15.3', '0.7', '21.8', '0.2', '14.6', '2.4', '15.7', '4.5', '88.3', '0.2', '0.4', '1.0', '5.0', '1.7', '37.8', '4.4', '5.7', '3.2', '10.4', '3.1', '8.0', '3.1', '0.9978', '0.9892', '0.9971', '0.915', '3.8991', '0.993', '0.2359', '0.418', '0.4142', '0.9863', '2.0544', '0.5358', '0.993', '0.297', '1.29', '0.6842', '0.6991', '0.9822', '0.9449', '0.9198', '0.9007', '4.4467', '1.0', '11.6902', '0.992', '1', '1', '1', '1', '4', '0', '0', '0', '1', '1', '1', '0', '1', '0', '1', '1', '1', '1', '4', '10', '1475', '324', '16.3', '3.6', '11597']
['48', 'TEXAS', 'TX', 'Jim Hogg', '48247', 'Jim Hogg County, Texas', '1136.1725982', '5282', '0', '2523', '206', '1710', '200', '1431', '340', '229', '150', '17798', '2533', '812', '178', '932', '172', '1659', '220', '1368', '267', '260', '110.5', '4911', '187.0', '266', '137.8', '20', '22.8', '216', '85', '131', '71.5', '196', '102', '29', '35', '27.4', '6.4', '11.5', '7.7', '17798.0', '2533.0', '25.8', '5.5', '17.6', '3.3', '31.4', '4.2', '26.0', '5.1', '15.2', '6.2', '93.0', '3.5', '5.5', '2.8', '0.8', '0.9', '8.6', '3.4', '7.7', '4.1', '11.5', '5.8', '0.5', '0.7', '0.9513', '0.9637', '0.9621', '0.9596', '3.8367', '0.9838', '0.4527', '0.9809', '0.9793', '0.9812', '3.3941', '0.9994', '0.9971', '0.9287', '1.9258', '0.9793', '0.1369', '0.4059', '0.9736', '0.9459', '0.0436', '2.5059', '0.4919', '11.6625', '0.9917', '1', '1', '1', '1', '4', '0', '1', '1', '1', '3', '1', '1', '2', '0', '0', '1', '1', '0', '2', '11', '988', '262', '18.8', '5.0', '4856']

