Category,Date,Resort,Miles,Elevation,Speed,,Amount
A,1/25/20,WinterPark,26,"22,578",61,"12,060",12.06
B,2/2/20,CopperMountain,35,"27,360",54,"12,313",12.313
B,2/8/20,CopperMountain,21,"22,987",56,"12,313",12.313
B,2/9/20,CopperMountain,23,"19,000",60,"12,313",12.313
A,2/22/20,WinterPark,27,"23,453",51,"12,060",12.06
A,2/23/20,WinterPark,33,"29,000",66,"12,060",12.06
C,2/29/20,SteamboatSprings,10,"10,459",59,"10,568",10.568
D,3/7/20,JacksonHole,31,"39,179",50,"10,450",10.45
E,3/8/20,BigSky,24,"24,665",58,"11,166",11.166
D,3/9/20,JacksonHole,38,"57,335",53,"10,450",10.45
