Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,dropout_rate,median_income
36001,05000US36001,Albany County,"Albany County, New York",ny,2.92,64535
36003,05000US36003,Allegany County,"Allegany County, New York",ny,5.15,47033
36005,05000US36005,Bronx County,"Bronx County, New York",ny,5.54,38085
36007,05000US36007,Broome County,"Broome County, New York",ny,2.12,50859
36009,05000US36009,Cattaraugus County,"Cattaraugus County, New York",ny,4.8,47240
36011,05000US36011,Cayuga County,"Cayuga County, New York",ny,7.06,56579
36013,05000US36013,Chautauqua County,"Chautauqua County, New York",ny,5.14,45332
36015,05000US36015,Chemung County,"Chemung County, New York",ny,5.93,53299
36017,05000US36017,Chenango County,"Chenango County, New York",ny,5.21,50595
36019,05000US36019,Clinton County,"Clinton County, New York",ny,1.79,55178
36021,05000US36021,Columbia County,"Columbia County, New York",ny,9.69,63032
36023,05000US36023,Cortland County,"Cortland County, New York",ny,1.3,54489
36025,05000US36025,Delaware County,"Delaware County, New York",ny,1.19,48827
36027,05000US36027,Dutchess County,"Dutchess County, New York",ny,3.43,78028
36029,05000US36029,Erie County,"Erie County, New York",ny,3.48,55673
36031,05000US36031,Essex County,"Essex County, New York",ny,4.94,56196
36033,05000US36033,Franklin County,"Franklin County, New York",ny,6.85,51696
36035,05000US36035,Fulton County,"Fulton County, New York",ny,12.59,50248
36037,05000US36037,Genesee County,"Genesee County, New York",ny,1.98,59338
36039,05000US36039,Greene County,"Greene County, New York",ny,18.73,53617
36041,05000US36041,Hamilton County,"Hamilton County, New York",ny,0,57552
36043,05000US36043,Herkimer County,"Herkimer County, New York",ny,7.84,51862
36045,05000US36045,Jefferson County,"Jefferson County, New York",ny,4.73,52268
36047,05000US36047,Kings County,"Kings County, New York",ny,3.34,56015
36049,05000US36049,Lewis County,"Lewis County, New York",ny,6.36,52380
36051,05000US36051,Livingston County,"Livingston County, New York",ny,2.4,56071
36053,05000US36053,Madison County,"Madison County, New York",ny,2.63,60228
36055,05000US36055,Monroe County,"Monroe County, New York",ny,2.79,57479
36057,05000US36057,Montgomery County,"Montgomery County, New York",ny,4.95,45837
36059,05000US36059,Nassau County,"Nassau County, New York",ny,1.84,111240
36061,05000US36061,New York County,"New York County, New York",ny,2.98,82459
36063,05000US36063,Niagara County,"Niagara County, New York",ny,2.45,54085
36065,05000US36065,Oneida County,"Oneida County, New York",ny,4.79,53844
36067,05000US36067,Onondaga County,"Onondaga County, New York",ny,3.35,59225
36069,05000US36069,Ontario County,"Ontario County, New York",ny,2.61,63359
36071,05000US36071,Orange County,"Orange County, New York",ny,3.9,76716
36073,05000US36073,Orleans County,"Orleans County, New York",ny,10.29,51843
36075,05000US36075,Oswego County,"Oswego County, New York",ny,3.5,53597
36077,05000US36077,Otsego County,"Otsego County, New York",ny,3.75,53121
36079,05000US36079,Putnam County,"Putnam County, New York",ny,1.41,102186
36081,05000US36081,Queens County,"Queens County, New York",ny,2.89,64987
36083,05000US36083,Rensselaer County,"Rensselaer County, New York",ny,3.92,65851
36085,05000US36085,Richmond County,"Richmond County, New York",ny,2.62,79267
36087,05000US36087,Rockland County,"Rockland County, New York",ny,3.52,91108
36089,05000US36089,St. Lawrence County,"St. Lawrence County, New York",ny,6.65,49305
36091,05000US36091,Saratoga County,"Saratoga County, New York",ny,2.77,80839
36093,05000US36093,Schenectady County,"Schenectady County, New York",ny,4.28,63785
36095,05000US36095,Schoharie County,"Schoharie County, New York",ny,1.44,53989
36097,05000US36097,Schuyler County,"Schuyler County, New York",ny,9.96,51479
36099,05000US36099,Seneca County,"Seneca County, New York",ny,10.54,54695
36101,05000US36101,Steuben County,"Steuben County, New York",ny,5.19,51789
36103,05000US36103,Suffolk County,"Suffolk County, New York",ny,2.67,96675
36105,05000US36105,Sullivan County,"Sullivan County, New York",ny,5.61,56256
36107,05000US36107,Tioga County,"Tioga County, New York",ny,0.86,60736
36109,05000US36109,Tompkins County,"Tompkins County, New York",ny,0.6,58743
36111,05000US36111,Ulster County,"Ulster County, New York",ny,2.67,63348
36113,05000US36113,Warren County,"Warren County, New York",ny,4.28,59813
36115,05000US36115,Washington County,"Washington County, New York",ny,10.26,54114
36117,05000US36117,Wayne County,"Wayne County, New York",ny,4.62,55765
36119,05000US36119,Westchester County,"Westchester County, New York",ny,2.76,92758
36121,05000US36121,Wyoming County,"Wyoming County, New York",ny,4.38,57914
36123,05000US36123,Yates County,"Yates County, New York",ny,30.15,54343
