Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00002_001,SE_A00002_002,SE_A00002_003,median_income
36051,05000US36051,Livingston County,"Livingston County, New York",ny,50,0,ACSSF,38,,,,,36,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63907,101.1567,631.7622475,56071
36053,05000US36053,Madison County,"Madison County, New York",ny,50,0,ACSSF,39,,,,,36,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71359,108.9676,654.8646249,60228
36055,05000US36055,Monroe County,"Monroe County, New York",ny,50,0,ACSSF,40,,,,,36,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744248,1133.017,656.8726527,57479
36057,05000US36057,Montgomery County,"Montgomery County, New York",ny,50,0,ACSSF,41,,,,,36,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49426,122.6097,403.1165179,45837
36059,05000US36059,Nassau County,"Nassau County, New York",ny,50,0,ACSSF,42,,,,,36,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1356564,4766.728,284.5901927,111240
36061,05000US36061,New York County,"New York County, New York",ny,50,0,ACSSF,43,,,,,36,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632480,72052.96,22.65666714,82459
36063,05000US36063,Niagara County,"Niagara County, New York",ny,50,0,ACSSF,44,,,,,36,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211704,405.2894,522.3526781,54085
36065,05000US36065,Oneida County,"Oneida County, New York",ny,50,0,ACSSF,45,,,,,36,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230782,190.3623,1212.330683,53844
36067,05000US36067,Onondaga County,"Onondaga County, New York",ny,50,0,ACSSF,46,,,,,36,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464242,596.4156,778.3867292,59225
36069,05000US36069,Ontario County,"Ontario County, New York",ny,50,0,ACSSF,47,,,,,36,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109472,169.9759,644.044374,63359
36071,05000US36071,Orange County,"Orange County, New York",ny,50,0,ACSSF,48,,,,,36,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378227,465.6127,812.3210702,76716
36073,05000US36073,Orleans County,"Orleans County, New York",ny,50,0,ACSSF,49,,,,,36,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41175,105.2361,391.2631441,51843
36075,05000US36075,Oswego County,"Oswego County, New York",ny,50,0,ACSSF,50,,,,,36,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119104,125.156,951.6444771,53597
36077,05000US36077,Otsego County,"Otsego County, New York",ny,50,0,ACSSF,51,,,,,36,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60244,60.14011,1001.727501,53121
36079,05000US36079,Putnam County,"Putnam County, New York",ny,50,0,ACSSF,52,,,,,36,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99070,430.1407,230.3200169,102186
36081,05000US36081,Queens County,"Queens County, New York",ny,50,0,ACSSF,53,,,,,36,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2298513,21130.26,108.7782893,64987
36083,05000US36083,Rensselaer County,"Rensselaer County, New York",ny,50,0,ACSSF,54,,,,,36,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159431,244.3554,652.4554461,65851
36085,05000US36085,Richmond County,"Richmond County, New York",ny,50,0,ACSSF,55,,,,,36,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474101,8242.558,57.51867885,79267
36087,05000US36087,Rockland County,"Rockland County, New York",ny,50,0,ACSSF,56,,,,,36,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323686,1866.314,173.435948,91108
36089,05000US36089,St. Lawrence County,"St. Lawrence County, New York",ny,50,0,ACSSF,57,,,,,36,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109558,40.891,2679.269075,49305
36091,05000US36091,Saratoga County,"Saratoga County, New York",ny,50,0,ACSSF,58,,,,,36,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227377,280.7138,809.9957096,80839
36093,05000US36093,Schenectady County,"Schenectady County, New York",ny,50,0,ACSSF,59,,,,,36,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154883,757.0793,204.5796289,63785
36095,05000US36095,Schoharie County,"Schoharie County, New York",ny,50,0,ACSSF,60,,,,,36,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31364,50.43912,621.8189243,53989
36097,05000US36097,Schuyler County,"Schuyler County, New York",ny,50,0,ACSSF,61,,,,,36,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17992,54.7963,328.3433653,51479
36099,05000US36099,Seneca County,"Seneca County, New York",ny,50,0,ACSSF,62,,,,,36,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34612,106.923,323.709472,54695
36101,05000US36101,Steuben County,"Steuben County, New York",ny,50,0,ACSSF,63,,,,,36,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96927,69.70413,1390.548824,51789
36103,05000US36103,Suffolk County,"Suffolk County, New York",ny,50,0,ACSSF,64,,,,,36,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1487901,1631.869,911.7772839,96675
36105,05000US36105,Sullivan County,"Sullivan County, New York",ny,50,0,ACSSF,65,,,,,36,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75211,77.6863,968.1371806,56256
36107,05000US36107,Tioga County,"Tioga County, New York",ny,50,0,ACSSF,66,,,,,36,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49045,94.57005,518.6103163,60736
36109,05000US36109,Tompkins County,"Tompkins County, New York",ny,50,0,ACSSF,67,,,,,36,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102962,216.926,474.6411736,58743
36111,05000US36111,Ulster County,"Ulster County, New York",ny,50,0,ACSSF,68,,,,,36,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179303,159.4888,1124.236029,63348
36113,05000US36113,Warren County,"Warren County, New York",ny,50,0,ACSSF,69,,,,,36,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64480,74.35037,867.2451363,59813
36115,05000US36115,Washington County,"Washington County, New York",ny,50,0,ACSSF,70,,,,,36,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61828,74.38693,831.1674525,54114
36117,05000US36117,Wayne County,"Wayne County, New York",ny,50,0,ACSSF,71,,,,,36,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90856,150.4664,603.8293552,55765
36119,05000US36119,Westchester County,"Westchester County, New York",ny,50,0,ACSSF,72,,,,,36,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968815,2250.086,430.5679995,92758
36121,05000US36121,Wyoming County,"Wyoming County, New York",ny,50,0,ACSSF,73,,,,,36,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40565,68.4352,592.7504838,57914
36123,05000US36123,Yates County,"Yates County, New York",ny,50,0,ACSSF,74,,,,,36,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25009,73.95988,338.1427497,54343
